class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21
A,0.383607388,0.703381419,-3.69E-07,0,0.449943215,0.694001257,-0.041128781,0,0.508331776,0.624013364,-0.055915873,0,0.525472224,0.533904433,-0.065890349,0,0.546295166,0.473307312,-0.068156846,0,0.489162266,0.490046024,-0.015156259,0,0.492388308,0.455307007,-0.04776977,0,0.477456689,0.522660375,-0.057420578,0,0.470525652,0.550646365,-0.058321226,0,0.443315029,0.475539982,-0.007126807,0,0.442600548,0.451814204,-0.04192052,0,0.434277117,0.543772459,-0.041178286,0,0.434185952,0.557587504,-0.029963046,0,0.398841649,0.478087306,-0.007029707,0,0.391387612,0.468802303,-0.045575559,0,0.392046928,0.553160071,-0.030887192,0,0.3959876,0.5649001,-0.009778364,0,0.353219151,0.493304968,-0.01031409,0,0.346578926,0.484567761,-0.033701867,0,0.354546547,0.540187001,-0.023017196,0,0.360050559,0.549112022,-0.006934423,0
A,0.384032458,0.717388213,-5.44E-07,0,0.465034842,0.688112497,-0.017173346,0,0.524136782,0.58931011,-0.022124358,0,0.545255601,0.502926886,-0.027612617,0,0.573024273,0.443514347,-0.026937619,0,0.473469913,0.464648277,-0.005569753,0,0.51916641,0.43947351,-0.033280455,0,0.514806747,0.517638505,-0.039559416,0,0.496624649,0.540112674,-0.040091567,0,0.429588109,0.456867158,-0.0106514,0,0.483593702,0.460340142,-0.040571399,0,0.474219978,0.552519441,-0.041750051,0,0.449072331,0.552676976,-0.035894152,0,0.38982147,0.471287727,-0.020567872,0,0.443761021,0.482131302,-0.056965988,0,0.437727243,0.569315851,-0.046406601,0,0.412955612,0.568088055,-0.031448517,0,0.352191776,0.497652978,-0.031239372,0,0.403661698,0.507072806,-0.054827072,0,0.406395525,0.569332242,-0.044872995,0,0.385732323,0.57354641,-0.031484276,0
A,0.375552714,0.723533511,-5.12E-07,0,0.455248177,0.702113926,-0.02884751,0,0.52094543,0.605366588,-0.036280457,0,0.540470004,0.514061749,-0.041062284,0,0.567361295,0.45238179,-0.038702637,0,0.474201888,0.477742374,-0.014258848,0,0.512652516,0.445112258,-0.041663539,0,0.504733682,0.528374195,-0.046679482,0,0.486536235,0.550213277,-0.046548728,0,0.428221017,0.466651827,-0.012670922,0,0.470100075,0.456671476,-0.043349013,0,0.462133437,0.551954985,-0.044479553,0,0.44082436,0.556117296,-0.037945777,0,0.384575874,0.476273298,-0.016638018,0,0.42371732,0.484135091,-0.054247331,0,0.420404434,0.574497342,-0.043850955,0,0.400549173,0.576383889,-0.028062351,0,0.341629654,0.496743411,-0.022109823,0,0.38092196,0.505761623,-0.046397202,0,0.386748284,0.568886042,-0.036872517,0,0.370688379,0.574305058,-0.023283836,0
A,0.388542503,0.719898343,-3.74E-07,0,0.455981821,0.714635074,-0.045278259,0,0.512876332,0.630630434,-0.05627542,0,0.522994339,0.530800998,-0.061435431,0,0.53653729,0.466935307,-0.058022738,0,0.486196637,0.509373188,-0.012372453,0,0.473344266,0.458169132,-0.044799712,0,0.461937547,0.52694267,-0.055103701,0,0.463131517,0.557250381,-0.055822972,0,0.440021217,0.497200847,0.000593057,0,0.42257908,0.464533091,-0.03458437,0,0.423200667,0.551300704,-0.034432925,0,0.435728371,0.563316882,-0.023874035,0,0.397275388,0.498763651,0.004450096,0,0.37840867,0.471143216,-0.036773946,0,0.384266555,0.551267624,-0.025088513,0,0.398078442,0.56588459,-0.005153732,0,0.355991513,0.509357154,0.00461979,0,0.344376862,0.481045574,-0.022858359,0,0.347875357,0.534773052,-0.016348703,0,0.355449051,0.550380528,-0.002364895,0
A,0.389495105,0.720915794,-3.30E-07,0,0.451218724,0.708227158,-0.045424175,0,0.490721941,0.621275187,-0.057237927,0,0.483624429,0.528149128,-0.063923821,0,0.494413316,0.464340448,-0.06154561,0,0.467841238,0.509060681,-0.006426861,0,0.437135249,0.463152945,-0.043553125,0,0.432677358,0.52864635,-0.059782211,0,0.445465267,0.555864811,-0.064497493,0,0.426786959,0.501362264,0.006185737,0,0.396098435,0.471017569,-0.033705097,0,0.404057413,0.549291968,-0.038377415,0,0.424345285,0.559278071,-0.030521184,0,0.389757365,0.508013487,0.008803528,0,0.360441089,0.480008036,-0.03540808,0,0.370243371,0.5512079,-0.026219573,0,0.390696555,0.563004971,-0.007164437,0,0.355678469,0.523568034,0.007232353,0,0.332695663,0.493010253,-0.022495719,0,0.333231628,0.534390569,-0.019429408,0,0.341851443,0.544364989,-0.007540524,0
A,0.402446389,0.71844393,-4.33E-07,0,0.473911852,0.703289509,-0.031157149,0,0.525272131,0.608308375,-0.036997229,0,0.533315003,0.51389271,-0.038022149,0,0.553936064,0.45717144,-0.032806862,0,0.493461072,0.486871928,-0.013758868,0,0.500934124,0.48300752,-0.036827326,0,0.491648644,0.551513553,-0.042004243,0,0.480022252,0.567205071,-0.04309316,0,0.444901109,0.471237004,-0.008140629,0,0.448874444,0.488760769,-0.031727936,0,0.447885215,0.571012259,-0.030262413,0,0.442738563,0.571490765,-0.023484532,0,0.399348795,0.482096255,-0.008384658,0,0.399365813,0.512278497,-0.037217617,0,0.406125546,0.586814046,-0.027387414,0,0.405764163,0.584643483,-0.014524949,0,0.356929481,0.506539643,-0.011102952,0,0.35438475,0.529628992,-0.029544789,0,0.364893436,0.578317106,-0.023399111,0,0.367385983,0.575621128,-0.013801401,0
A,0.406316161,0.700671315,-5.06E-07,0,0.481142759,0.671838522,-0.022321019,0,0.528404713,0.571430743,-0.024476081,0,0.532256305,0.47240454,-0.025648676,0,0.545613885,0.412725329,-0.019876283,0,0.484653056,0.487660497,-0.004952535,0,0.492911011,0.411644012,-0.030508248,0,0.490952849,0.486134112,-0.034845971,0,0.482735664,0.518535018,-0.032862816,0,0.441177785,0.489797026,-0.003814836,0,0.448543012,0.42588836,-0.030253718,0,0.450898975,0.515599251,-0.027548201,0,0.44277209,0.528010249,-0.018439889,0,0.399952859,0.501538098,-0.008348312,0,0.406031221,0.444440663,-0.039313532,0,0.41228497,0.527876437,-0.021516258,0,0.404731333,0.541047215,-0.00142781,0,0.355276257,0.518895805,-0.014533875,0,0.363310039,0.472665817,-0.03188486,0,0.374604523,0.525898278,-0.016339432,0,0.370304465,0.541279078,0.000269738,0
A,0.413733333,0.69085747,-5.11E-07,0,0.489194632,0.667528391,-0.018915588,0,0.532120347,0.565586627,-0.018887375,0,0.532129169,0.468634099,-0.018125691,0,0.544256866,0.411320388,-0.010869509,0,0.492118776,0.482769758,-0.004739909,0,0.506168962,0.411752939,-0.031014558,0,0.507733583,0.487606227,-0.035796378,0,0.49842903,0.521846414,-0.033933762,0,0.450153261,0.485236675,-0.00495949,0,0.465533167,0.422924906,-0.033050127,0,0.470333815,0.511393607,-0.031667583,0,0.458832264,0.52841258,-0.023220895,0,0.409847975,0.498048753,-0.01050531,0,0.423560381,0.448301494,-0.044163223,0,0.431063235,0.53109616,-0.02981803,0,0.420936644,0.543610752,-0.011406836,0,0.366307408,0.51729846,-0.016934052,0,0.381886989,0.478191078,-0.036979068,0,0.394590259,0.533122599,-0.024414573,0,0.388548553,0.547044992,-0.009869322,0
A,0.384112775,0.695712566,-4.79E-07,0,0.459419698,0.693104923,-0.030577103,0,0.521149576,0.610947013,-0.036388423,0,0.538995743,0.515395224,-0.039569255,0,0.561573565,0.46137014,-0.035084032,0,0.491854459,0.509892046,-0.009898802,0,0.50293386,0.443781406,-0.037105888,0,0.490299851,0.516367614,-0.041626632,0,0.48170948,0.544929683,-0.039157376,0,0.447490424,0.498508751,-0.004338937,0,0.453674823,0.451246321,-0.031917632,0,0.446043104,0.540710866,-0.027889006,0,0.444306165,0.546477258,-0.017197818,0,0.406661391,0.49748373,-0.005465031,0,0.411296725,0.453297317,-0.037496731,0,0.407096595,0.535881817,-0.019574363,0,0.405328244,0.545153856,0.001325691,0,0.36392504,0.501860321,-0.009144399,0,0.365548432,0.461365223,-0.027719034,0,0.368849516,0.51526618,-0.013555593,0,0.368757844,0.530603051,0.00326476,0
A,0.400079042,0.662909031,-4.48E-07,0,0.473865777,0.658534288,-0.028967762,0,0.530238748,0.574881911,-0.034042306,0,0.544704854,0.484878838,-0.036097135,0,0.569086075,0.435123146,-0.030844033,0,0.499696493,0.483575821,-0.012177638,0,0.514229894,0.426673919,-0.036365479,0,0.501841247,0.497651964,-0.039186358,0,0.492011398,0.520554245,-0.03688978,0,0.457009047,0.472596943,-0.006937291,0,0.466168761,0.428189635,-0.032323819,0,0.45938924,0.514261007,-0.0274898,0,0.455756158,0.520606339,-0.017338496,0,0.416817993,0.47229287,-0.007793386,0,0.422509849,0.434806794,-0.037592586,0,0.419820607,0.515393555,-0.020254528,0,0.417127103,0.524609506,-0.000794078,0,0.375091761,0.47760424,-0.01091075,0,0.377815485,0.444446713,-0.02781323,0,0.381065458,0.49655655,-0.014451072,0,0.378537804,0.509589434,0.000648381,0
